,Year,Novo Nordisk,Other
0,2020,0.06061050519013006,0.06450023972573792
1,2021,0.06072802368647734,0.06864094502458701
2,2022,0.06618389709834689,0.07358688386585588
3,2023,0.07350515617640076,0.08194839246331422
4,2024,0.07960492205405484,0.08129370038763375
