,Year,Africa,Europe,Middle East and North Africa,North America and Caribbean,South and Central America,South-East Asia,Western Pacific
0,2011,344.455,599.935,276.425,283.212,227.143,1156.016,1726.74
1,2021,416.162,1111.201,796.369,930.692,410.208,747.368,2281.732
