,Year,Novo Nordisk,Other
0,2020,24152.867900000005,15952.1327
1,2021,26163.47410000001,17031.12959999999
2,2022,25626.94820000001,17380.13839999999
3,2023,25127.864100000006,16006.697200000011
4,2024,24141.052900000017,15877.976100000013
